suburb,subculture_id,subculture_name,longitude,latitude,median_age,weekly_income,pct_born_overseas,pct_renting,pct_english_only,pct_university
Newtown,0,Inner-City Creative,151.19242,-33.89346,33,1083,32.7,70.1,70.8,66.1
Newtown,0,Inner-City Creative,151.16826,-33.87644,28,844,37.4,56.7,37.8,55.5
Newtown,0,Inner-City Creative,151.15468,-33.88214,25,731,49.7,70.2,55.7,48.6
Newtown,0,Inner-City Creative,151.16639,-33.88723,24,945,29.0,69.7,49.0,74.8
Newtown,0,Inner-City Creative,151.17966,-33.91644,34,753,37.1,56.3,41.7,61.6
Newtown,0,Inner-City Creative,151.19846,-33.88572,29,864,20.2,66.2,50.4,68.5
Newtown,0,Inner-City Creative,151.18859,-33.93408,32,854,28.2,76.9,65.3,67.5
Newtown,0,Inner-City Creative,151.15902,-33.89773,32,1017,30.2,70.5,43.9,50.4
Newtown,0,Inner-City Creative,151.20031,-33.85609,30,1020,38.6,66.8,58.6,72.3
Newtown,0,Inner-City Creative,151.1791,-33.85088,17,999,35.9,69.6,55.9,44.1
Newtown,0,Inner-City Creative,151.17451,-33.88107,37,838,26.9,68.0,64.2,62.6
Newtown,0,Inner-City Creative,151.16676,-33.87717,30,1016,28.0,69.4,51.1,48.3
Newtown,0,Inner-City Creative,151.1874,-33.88347,30,872,20.8,68.6,51.6,53.6
Newtown,0,Inner-City Creative,151.17597,-33.8799,39,921,37.6,71.4,35.8,59.8
Newtown,0,Inner-City Creative,151.18151,-33.82842,29,936,34.7,62.7,66.4,66.0
Newtown,0,Inner-City Creative,151.19978,-33.91273,37,732,40.9,89.5,45.1,55.5
Newtown,0,Inner-City Creative,151.18249,-33.90259,22,908,24.4,75.8,45.8,72.4
Newtown,0,Inner-City Creative,151.16042,-33.89805,34,752,37.3,82.5,38.9,61.5
Newtown,0,Inner-City Creative,151.1865,-33.87045,24,742,40.2,74.4,57.5,62.8
Newtown,0,Inner-City Creative,151.163,-33.88419,31,814,53.7,75.8,43.1,65.3
Newtown,0,Inner-City Creative,151.15563,-33.87032,36,802,44.6,75.3,63.2,75.2
Newtown,0,Inner-City Creative,151.17387,-33.90884,26,802,34.2,74.7,57.8,66.6
Newtown,0,Inner-City Creative,151.18033,-33.85366,29,1226,41.3,65.1,44.3,63.9
Newtown,0,Inner-City Creative,151.17441,-33.87215,32,891,26.5,59.9,50.5,66.9
Newtown,0,Inner-City Creative,151.18535,-33.92114,31,946,26.2,73.2,55.6,50.9
Newtown,0,Inner-City Creative,151.18894,-33.87598,35,1026,21.2,64.5,60.2,64.1
Newtown,0,Inner-City Creative,151.19288,-33.79368,33,1036,44.5,77.2,51.8,66.1
Newtown,0,Inner-City Creative,151.16068,-33.89592,28,910,58.1,57.1,61.9,47.1
Newtown,0,Inner-City Creative,151.1682,-33.86278,30,771,27.8,77.4,47.7,61.7
Newtown,0,Inner-City Creative,151.18114,-33.90629,41,976,14.7,73.5,48.4,66.8
Surry Hills,0,Inner-City Creative,151.19019,-33.88287,33,1004,23.0,69.3,50.3,54.8
Surry Hills,0,Inner-City Creative,151.25414,-33.86988,24,1010,56.2,80.3,39.8,56.1
Surry Hills,0,Inner-City Creative,151.24167,-33.89769,32,993,25.7,71.5,22.6,51.8
Surry Hills,0,Inner-City Creative,151.20369,-33.91119,38,728,30.6,73.0,69.4,48.5
Surry Hills,0,Inner-City Creative,151.23908,-33.87974,25,955,37.0,67.2,55.7,56.9
Surry Hills,0,Inner-City Creative,151.21284,-33.86345,38,751,56.3,56.4,53.5,64.7
Surry Hills,0,Inner-City Creative,151.21702,-33.89557,29,841,29.1,78.8,58.6,54.5
Surry Hills,0,Inner-City Creative,151.23249,-33.87232,34,976,26.7,67.5,62.5,64.9
Surry Hills,0,Inner-City Creative,151.20948,-33.87707,36,829,40.5,70.4,52.8,68.8
Surry Hills,0,Inner-City Creative,151.23064,-33.85966,37,903,41.8,69.5,58.2,59.0
Surry Hills,0,Inner-City Creative,151.21242,-33.86512,26,1151,24.9,62.3,66.6,66.3
Surry Hills,0,Inner-City Creative,151.2256,-33.86429,30,792,35.8,66.6,64.8,58.8
Surry Hills,0,Inner-City Creative,151.18936,-33.88803,32,832,26.8,73.9,57.4,55.9
Surry Hills,0,Inner-City Creative,151.19822,-33.8742,23,731,27.8,70.3,58.1,71.8
Surry Hills,0,Inner-City Creative,151.23144,-33.884,30,780,34.8,69.7,58.2,53.4
Surry Hills,0,Inner-City Creative,151.22298,-33.84168,29,948,41.9,68.8,57.2,60.1
Surry Hills,0,Inner-City Creative,151.21244,-33.89933,30,960,49.5,79.7,76.5,53.9
Surry Hills,0,Inner-City Creative,151.23181,-33.87542,41,803,26.6,67.2,33.8,55.8
Surry Hills,0,Inner-City Creative,151.19102,-33.87624,32,1125,44.5,67.4,46.0,63.9
Surry Hills,0,Inner-City Creative,151.17699,-33.83421,36,844,17.9,82.8,53.9,69.9
Surry Hills,0,Inner-City Creative,151.17014,-33.89498,30,906,30.5,77.0,44.3,58.9
Surry Hills,0,Inner-City Creative,151.21301,-33.86714,34,765,19.7,82.2,58.3,54.0
Surry Hills,0,Inner-City Creative,151.24878,-33.87711,36,908,55.6,86.0,52.5,67.8
